NIFTY TOTAL MARKET,NIFTY 50,NIFTY BANK,NIFTY NEXT 50,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY REALTY,NIFTY HEALTHCARE INDEX,NIFTY CONSUMER DURABLES,NIFTY OIL & GAS,NIFTY COMMODITIES,NIFTY INDIA CONSUMPTION,NIFTY ENERGY,NIFTY INFRASTRUCTURE,NIFTY INDIA DEFENCE,NIFTY INDIA TOURISM,NIFTY CAPITAL MARKETS,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY MOBILITY,NIFTY RURAL
TEJASNET,RELIANCE,HDFCBANK,VEDL,M&M,ITC,INFY,PFOCUS,TATASTEEL,SUNPHARMA,SBIN,HDFCBANK,DLF,SUNPHARMA,DIXON,RELIANCE,RELIANCE,BHARTIARTL,RELIANCE,RELIANCE,PARAS,INDIGO,BSE,RELIANCE,RELIANCE,BHARTIARTL
RELIANCE,BHARTIARTL,ICICIBANK,HAL,MARUTI,HINDUNILVR,TCS,ZEEL,VEDL,LUPIN,CANBK,ICICIBANK,GODREJPROP,APOLLOHOSP,TITAN,ONGC,ONGC,M&M,ONGC,BHARTIARTL,BEL,ITCHOTELS,MCX,M&M,M&M,SBIN
BHARTIARTL,HDFCBANK,SBIN,SOLARINDS,TMPV,VBL,HCLTECH,PVRINOX,HINDCOPPER,CIPLA,BANKBARODA,AXISBANK,LODHA,MAXHEALTH,AMBER,OIL,TATASTEEL,INDIGO,OIL,LT,HAL,INDHOTEL,CDSL,MARUTI,INDIGO,M&M
HDFCBANK,LT,AXISBANK,DLF,ASHOKLEY,GODREJCP,WIPRO,NAZARA,NATIONALUM,DRREDDY,UNIONBANK,KOTAKBANK,ANANTRAJ,LUPIN,PGEL,PETRONET,VEDL,ETERNAL,POWERGRID,ONGC,SOLARINDS,JUBLFOOD,HDFCAMC,TMPV,ETERNAL,MARUTI
LT,ICICIBANK,KOTAKBANK,CANBK,TVSMOTOR,BRITANNIA,COFORGE,SUNTV,HINDALCO,DIVISLAB,PNB,IDFCFIRSTB,OBEROIRLTY,CIPLA,KALYANKJIL,BPCL,OIL,MARUTI,COALINDIA,INDIGO,ZENTEC,IRCTC,CAMS,ASHOKLEY,MARUTI,DIXON
ICICIBANK,INFY,CANBK,BANKBARODA,EICHERMOT,NESTLEIND,PERSISTENT,NETWORK18,SAIL,TORNTPHARM,INDIANB,FEDERALBNK,PRESTIGE,DRREDDY,HAVELLS,IOC,COALINDIA,DIXON,PETRONET,DLF,BHARATFORG,GMRAIRPORT,360ONE,TVSMOTOR,TMPV,SHRIRAMFIN
INFY,SBIN,BANKBARODA,BPCL,BHARATFORG,TATACONSUM,TECHM,TIPSMUSIC,HINDZINC,LAURUSLABS,MAHABANK,INDUSINDBK,PHOENIXLTD,DIVISLAB,VOLTAS,GAIL,HINDALCO,DLF,BPCL,POWERGRID,DATAPATTNS,LEMONTREE,ANGELONE,EICHERMOT,PETRONET,BAJFINANCE
PARAS,BEL,UNIONBANK,IOC,BAJAJ-AUTO,PATANJALI,MPHASIS,SAREGAMA,JINDALSTEL,MANKIND,BANKINDIA,YESBANK,SIGNATURE,FORTIS,BLUESTARCO,HINDPETRO,BPCL,ITC,IOC,ASHOKLEY,MTARTECH,BLS,KFINTECH,OLAELEC,ASHOKLEY,ITC
SBIN,ONGC,PNB,GAIL,HEROMOTOCO,UNITDSPR,LTM,HATHWAY,ADANIENT,ZYDUSLIFE,CENTRALBK,RBLBANK,BRIGADE,TORNTPHARM,CROMPTON,MGL,IOC,HINDUNILVR,GAIL,BPCL,MAZDOCK,TBOTEK,NAM-INDIA,FORCEMOT,SWIGGY,TMPV
BEL,M&M,IDFCFIRSTB,TVSMOTOR,MOTHERSON,MARICO,OFSS,DBCORP,NMDC,BIOCON,IOB,BANDHANBNK,SOBHA,LAURUSLABS,KAJARIACER,GUJGASLTD,ULTRACEMCO,APOLLOHOSP,NTPC,ADANIPORTS,BDL,DBREALTY,NUVAMA,BHARATFORG,BPCL,HINDUNILVR
ONGC,TATASTEEL,FEDERALBNK,HINDZINC,BOSCHLTD,DABUR,,,JSWSTEEL,AUROPHARMA,UCOBANK,,,MANKIND,BATAINDIA,IGL,NTPC,TVSMOTOR,BHEL,IOC,GRSE,EIHOTEL,IEX,BAJAJ-AUTO,ADANIPORTS,ASHOKLEY
M&M,INDIGO,INDUSINDBK,PFC,UNOMINDA,RADICO,,,APLAPOLLO,WOCKPHARMA,PSB,,,ZYDUSLIFE,WHIRLPOOL,CASTROLIND,JINDALSTEL,EICHERMOT,POWERINDIA,APOLLOHOSP,COCHINSHIP,CHALET,MOTILALOFS,KEI,IOC,BANKBARODA
TATASTEEL,ETERNAL,AUBANK,RECLTD,TIINDIA,COLPAL,,,JSL,GLENMARK,,,,BIOCON,CERA,GSPL,HINDPETRO,TITAN,GVT&D,ULTRACEMCO,DYNAMATECH,THELEELA,ANANDRATHI,CGPOWER,GAIL,IDEA
NETWEB,MARUTI,YESBANK,VBL,SONACOMS,UBL,,,WELCORP,ABBOTINDIA,,,,AUROPHARMA,CENTURYPLY,ATGL,GRASIM,ASIANPAINT,SUZLON,GAIL,ASTRAMICRO,DEVYANI,ABSLAMC,HEROMOTOCO,TVSMOTOR,ULTRACEMCO
BSE,SHRIRAMFIN,,JINDALSTEL,EXIDEIND,EMAMILTD,,,LLOYDSME,ALKEM,,,,GLENMARK,VGUARD,AEGISLOG,TORNTPOWER,VBL,HINDPETRO,NTPC,BEML,VENTIVE,UTIAMC,MOTHERSON,EICHERMOT,TVSMOTOR
INDIGO,TCS,,IRFC,,,,,,JBCHEPHARM,,,,ABBOTINDIA,,,NMDC,MAXHEALTH,CGPOWER,CUMMINSIND,MIDHANI,SAPPHIRE,,HYUNDAI,BHARATFORG,EICHERMOT
ETERNAL,SUNPHARMA,,LODHA,,,,,,PPLPHARMA,,,,ALKEM,,,ADANIPOWER,BAJAJ-AUTO,TORNTPOWER,MAXHEALTH,CYIENTDLM,,,BOSCHLTD,BAJAJ-AUTO,NTPC
VEDL,BAJFINANCE,,PNB,,,,,,AJANTPHARM,,,,SYNGENE,,,UPL,TRENT,ADANIPOWER,GODREJPROP,UNIMECH,,,UNOMINDA,HINDPETRO,CUMMINSIND
OIL,POWERGRID,,CGPOWER,,,,,,GLAND,,,,PPLPHARMA,,,TATAPOWER,HEROMOTOCO,TATAPOWER,BHARATFORG,,,,TIINDIA,HEROMOTOCO,HDFCLIFE
MARUTI,COALINDIA,,CHOLAFIN,,,,,,IPCALAB,,,,IPCALAB,,,JSWSTEEL,ADANIPOWER,RPOWER,SUZLON,,,,KPITTECH,MOTHERSON,ASIANPAINT
HAL,AXISBANK,,DIVISLAB,,,,,,,,,,,,,ADANIGREEN,DMART,ADANIGREEN,HINDPETRO,,,,TATAELXSI,HYUNDAI,BAJAJ-AUTO
HINDCOPPER,ITC,,ADANIPOWER,,,,,,,,,,,,,ADANIENSOL,TATAPOWER,ADANIENSOL,CGPOWER,,,,ATHERENERG,BOSCHLTD,PNB
NATIONALUM,KOTAKBANK,,DMART,,,,,,,,,,,,,PIDILITIND,INDHOTEL,ABB,GRASIM,,,,HSCL,IRCTC,INDIANB
DIXON,HINDALCO,,MAZDOCK,,,,,,,,,,,,,NHPC,GODREJCP,ENRIN,INDUSTOWER,,,,SONACOMS,TIINDIA,MUTHOOTFIN
SOLARINDS,TMPV,,TATAPOWER,,,,,,,,,,,,,APLAPOLLO,NAUKRI,NHPC,TATAPOWER,,,,SCHAEFFLER,MRF,HEROMOTOCO
SHRIRAMFIN,HINDUNILVR,,INDHOTEL,,,,,,,,,,,,,AMBUJACEM,BRITANNIA,SIEMENS,INDHOTEL,,,,TATATECH,GMRAIRPORT,GRASIM
TCS,ADANIPORTS,,GODREJCP,,,,,,,,,,,,,SRF,NESTLEIND,MGL,MOTHERSON,,,,OLECTRA,CONCOR,TORNTPOWER
SUNPHARMA,APOLLOHOSP,,MOTHERSON,,,,,,,,,,,,,SHREECEM,TATACONSUM,GUJGASLTD,ADANIGREEN,,,,EXIDEIND,SONACOMS,CHOLAFIN
BAJFINANCE,ULTRACEMCO,,HYUNDAI,,,,,,,,,,,,,JSWENERGY,HAVELLS,INOXWIND,AMBUJACEM,,,,TATACHEM,BALKRISIND,ADANIPOWER
DLF,EICHERMOT,,TORNTPHARM,,,,,,,,,,,,,PIIND,UNITDSPR,IGL,SHREECEM,,,,ARE&M,ATGL,BANKINDIA
POWERGRID,HCLTECH,,NAUKRI,,,,,,,,,,,,,,,JSWENERGY,,,,,JWL,,UPL
COALINDIA,TITAN,,BRITANNIA,,,,,,,,,,,,,,,JPPOWER,,,,,LTTS,,TATAPOWER
