UNDERLYING,SYMBOL,Lot Size
NIFTY 50                            ,NIFTY     ,65
NIFTY BANK                          ,BANKNIFTY ,30
360 ONE WAM LIMITED,360ONE,100
ABB India Limited,ABB,125
APL Apollo Tubes Limited,APLAPOLLO,350
AU Small Finance Bank Limited,AUBANK,475
Adani Energy Solutions Limited,ADANIENSOL,475
Adani Enterprises Limited,ADANIENT,309
Adani Green Energy Limited,ADANIGREEN,500
Adani Ports and Special Economic Zone Limited,ADANIPORTS,475
Aditya Birla Capital Limited,ABCAPITAL,3100
Alkem Laboratories Limited,ALKEM,500
Amber Enterprises India Limited,AMBER,475
Ambuja Cements Limited,AMBUJACEM,475
Angel One Limited,ANGELONE,475
Apollo Hospitals Enterprise Limited,APOLLOHOSP,475
Ashok Leyland Limited,ASHOKLEY,475
Asian Paints Limited,ASIANPAINT,475
Astral Limited,ASTRAL,2500
Aurobindo Pharma Limited,AUROPHARMA,475
Avenue Supermarts Limited,DMART,5000
Axis Bank Limited,AXISBANK,350
BSE Limited,BSE,375
Bajaj Auto Limited,BAJAJ-AUTO,375
Bajaj Finance Limited,BAJFINANCE,250
Bajaj Finserv Limited,BAJAJFINSV,5000
Bajaj Holdings & Investment Limited,BAJAJHLDNG,50
Bandhan Bank Limited,BANDHANBNK,250
Bank of Baroda,BANKBARODA,2925
Bank of India,BANKINDIA,750
Bharat Dynamics Limited,BDL,3100
Bharat Electronics Limited,BEL,2500
Bharat Forge Limited,BHARATFORG,3100
Bharat Heavy Electricals Limited,BHEL,1000
Bharat Petroleum Corporation Limited,BPCL,3100
Bharti Airtel Limited,BHARTIARTL,3100
Biocon Limited,BIOCON,1425
Blue Star Limited,BLUESTARCO,325
Bosch Limited,BOSCHLTD,2625
Britannia Industries Limited,BRITANNIA,1425
CG Power and Industrial Solutions Limited,CGPOWER,850
Canara Bank,CANBK,750
Central Depository Services (India) Limited,CDSL,550
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,750
Cipla Limited,CIPLA,850
Coal India Limited,COALINDIA,1350
Coforge Limited,COFORGE,1000
Colgate Palmolive (India) Limited,COLPAL,375
Computer Age Management Services Limited,CAMS,375
Container Corporation of India Limited,CONCOR,125
Crompton Greaves Consumer Electricals Limited,CROMPTON,375
Cummins India Limited,CUMMINSIND,375
DLF Limited,DLF,550
Dabur India Limited,DABUR,100
Dalmia Bharat Limited,DALBHARAT,375
Delhivery Limited,DELHIVERY,1250
Divi's Laboratories Limited,DIVISLAB,2075
Dixon Technologies (India) Limited,DIXON,475
Dr. Reddy's Laboratories Limited,DRREDDY,1000
ETERNAL LIMITED,ETERNAL,150
Eicher Motors Limited,EICHERMOT,2075
Exide Industries Limited,EXIDEIND,1250
FSN E-Commerce Ventures Limited,NYKAA,150
Fortis Healthcare Limited,FORTIS,2075
GAIL (India) Limited,GAIL,625
GMR AIRPORTS LIMITED,GMRAIRPORT,150
Glenmark Pharmaceuticals Limited,GLENMARK,100
